id,name,brand,category,price,ingredients,key_ingredients,benefits,side_effects,is_natural,concentrations,usage,application_tips,skin_types,skin_concerns,allergens,sensitivities
1,Himalaya Purifying Neem Face Wash 100ml,Himalaya,Face Wash,1334.8,"Neem, Turmeric","Neem, Turmeric","Purifies skin, removes impurities",Dryness in some cases,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Acne, Oil Control",NULL,Sensitive to Turmeric
2,Dr. Rashel Intimate Magic Pink Cream,Dr. Rashel,Cream,1504.0,Herbal extracts,Herbal extracts,Lightens and brightens intimate areas,Mild irritation,1,High,As needed,"Apply to desired areas, massage gently",All Skin Types,Pigmentation,NULL,Sensitive to herbal extracts
3,Rivaj UK Deep Cleansing Black Mask Whitening Complex 6pcs,Rivaj UK,Mask,1974.0,"Charcoal, Aloe Vera","Charcoal, Aloe Vera","Deep cleanses, whitens skin",Possible irritation,0,Standard,Weekly,"Apply evenly, let dry, peel off","Oily, Combination","Blackheads, Dull Skin",NULL,Sensitive to Charcoal
4,Mamaearth Ubtan Face Scrub With Turmeric & Walnut For Tan Removal,Mamaearth,Scrub,2716.6,"Turmeric, Walnut","Turmeric, Walnut","Exfoliates, removes tan",Can be harsh on dry skin,1,High,Weekly,"Massage on face for 2-3 minutes, rinse",All Skin Types,Tan Removal,NULL,Sensitive to Walnut
5,Mamaearth Charcoal Face Wash for Oil Control 100ml,Mamaearth,Face Wash,2716.6,"Charcoal, Tea Tree","Charcoal, Tea Tree","Controls oil, deep cleanses",Can be drying,0,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,Oil Control,NULL,Sensitive to Charcoal
6,Mamaearth Tea Tree Facewash for Acne & Pimples 100ml,Mamaearth,Face Wash,2716.6,"Tea Tree, Neem","Tea Tree, Neem","Reduces acne, prevents pimples",Slight tingling,1,Standard,Daily,"Apply to wet face, lather and rinse",Acne-Prone Skin,"Acne, Pimples",NULL,Sensitive to Tea Tree
7,Mamaearth Ubtan Face Wash with Turmeric & Saffron for Tan Removal,Mamaearth,Face Wash,2716.6,"Turmeric, Saffron","Turmeric, Saffron","Removes tan, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,Tan Removal,NULL,Sensitive to Turmeric
8,Mamaearth Onion Hair Oil for Hair Regrowth & Hair Fall Control,Mamaearth,Hair Oil,4399.2,"Onion, Bhringraj","Onion, Bhringraj","Promotes hair regrowth, reduces hair fall",Strong smell,1,High,Twice a week,"Massage on scalp, leave overnight",All Hair Types,"Hair Fall, Regrowth",NULL,Sensitive to Onion
9,Mamaearth Ubtan Foaming Face Wash with Turmeric and Saffron,Mamaearth,Face Wash,3938.6,"Turmeric, Saffron","Turmeric, Saffron","Removes tan, deep cleanses",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,Tan Removal,NULL,Sensitive to Turmeric
10,Neutrogena Oil-Free Acne Face Wash Cream Cleanser 200ml,Neutrogena,Face Wash,10264.8,Salicylic Acid,Salicylic Acid,"Treats acne, prevents breakouts",Dryness in some cases,0,Standard,Daily,"Apply to wet face, lather and rinse",Acne-Prone Skin,"Acne, Breakouts",NULL,Sensitive to Salicylic Acid
11,St. Ives Fresh Skin Apricot Scrub 170g,St. Ives,Scrub,9977.0,"Apricot, Walnut","Apricot, Walnut","Exfoliates, smoothens skin",Can be harsh on sensitive skin,1,Standard,Weekly,"Massage on face for 2-3 minutes, rinse",All Skin Types,"Dullness, Rough Texture",NULL,Sensitive to Walnut
12,L''Oréal Paris Revitalift Hyaluronic Acid Serum,L''Oréal,Serum,11452.8,Hyaluronic Acid,Hyaluronic Acid,"Hydrates, plumps skin",NULL,0,High,Twice daily,"Apply a few drops to face, massage gently",All Skin Types,"Dryness, Fine Lines",NULL,Sensitive to Hyaluronic Acid
13,Junsui Naturals Face Wash With Extra Whitening Radiance 100g,Junsui,Face Wash,1217.3,Herbal extracts,Herbal extracts,"Whitens skin, adds radiance",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Pigmentation",NULL,Sensitive to herbal extracts
14,OxyGlow Saffron Whitening Lotion 120ml,OxyGlow,Lotion,2150.0,"Saffron, Milk Proteins","Saffron, Milk Proteins","Whitens skin, moisturizes",NULL,1,Standard,Daily,"Apply to body, massage gently",All Skin Types,"Dullness, Dry Skin",NULL,Sensitive to Saffron
15,OxyGlow Liquorice Mud Pack 100g,OxyGlow,Mask,1650.0,"Liquorice, Mud","Liquorice, Mud","Detoxifies skin, brightens",Possible irritation,1,Standard,Weekly,"Apply evenly, let dry, rinse",All Skin Types,"Dullness, Oiliness",NULL,Sensitive to Liquorice
16,OxyGlow Cucumber Skin Toner 100ml,OxyGlow,Toner,1300.0,"Cucumber, Aloe Vera","Cucumber, Aloe Vera","Refreshes, hydrates skin",NULL,1,Standard,Twice daily,"Apply with cotton pad, avoid eyes",All Skin Types,"Dullness, Dryness",NULL,NULL
17,OxyGlow Rose Refreshing Toner 100ml,OxyGlow,Toner,1300.0,"Rose, Witch Hazel","Rose, Witch Hazel","Soothes, refreshes skin",NULL,1,Standard,Twice daily,"Apply with cotton pad, avoid eyes",All Skin Types,"Dullness, Redness",NULL,NULL
18,OxyGlow Charcoal Face Wash 100ml,OxyGlow,Face Wash,1970.0,"Charcoal, Aloe Vera","Charcoal, Aloe Vera","Deep cleanses, detoxifies skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",NULL,NULL
19,OxyGlow Pearl Whitening Face Wash 100ml,OxyGlow,Face Wash,1750.0,"Pearl, Mulberry","Pearl, Mulberry","Whitens, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Pigmentation",NULL,NULL
20,OxyGlow Gold & Saffron Face Wash 100ml,OxyGlow,Face Wash,1885.0,"Gold, Saffron","Gold, Saffron","Brightens, rejuvenates skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Aging",NULL,NULL
21,Jovees Tea Tree Oil Balance Face Wash 120ml,Jovees,Face Wash,2330.0,"Tea Tree Oil, Neem","Tea Tree Oil, Neem","Controls oil, treats acne",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",NULL,Sensitive to Tea Tree Oil
22,Jovees Grape Face Wash for a Brighter & Glowing Skin 120ml,Jovees,Face Wash,1865.0,"Grape Extract, Aloe","Grape Extract, Aloe","Brightens, hydrates skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
23,Jovees Strawberry Face Wash for Sheer Moisture & Glowing Skin 120ml,Jovees,Face Wash,1710.0,"Strawberry, Aloe Vera","Strawberry, Aloe Vera","Moisturizes, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Dryness",NULL,NULL
24,Prevense Neem Face Wash for Oil & Acne Prone Skin 100ml,Prevense,Face Wash,1150.0,"Neem, Aloe Vera","Neem, Aloe Vera","Controls oil, treats acne",Possible dryness,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",NULL,Sensitive to Neem
25,Himalaya Oil Clear Lemon Face Wash 100ml,Himalaya,Face Wash,1391.2,"Lemon, Honey","Lemon, Honey","Clears oil, brightens skin",NULL,1,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Dullness",NULL,NULL
26,Tea Tree Moisturising Treatment Pack,Tea Tree,Treatment,4760.0,Tea Tree Oil,Tea Tree Oil,"Moisturizes, treats acne",Possible dryness,1,Standard,Weekly,"Apply to cleansed face, leave on","Oily, Acne-Prone","Acne, Dryness",NULL,Sensitive to Tea Tree Oil
