Id,Name,Brand,Category,Price,Ingredients,Key Ingredients,Benefit,Potential Side Effects,Natural,Concentrations,Usage,Application Tips,Skin Type,Skin Concern,Average Rating,Customer Reviews,Expert Review,Allergens,Sensitivities,Claims 
1,Himalaya Purifying Neem Face Wash 100ml,Himalaya,Face Wash,"1,334.80","Neem, Turmeric","Neem, Turmeric","Purifies skin, removes impurities",Dryness in some cases,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Acne, Oil Control",4.5,"- ""Cleared my acne in just a week!"" - 5 stars <br> - ""Skin feels fresh and clean."" - 4.5 stars <br> - ""Great for oily skin."" - 4 stars <br> - ""Gentle and effective."" - 5 stars <br> - ""Noticed a reduction in pimples."" - 4 stars",Dermatologist recommended,None,Sensitive to Turmeric,"Removes impurities, clears acne"
2,Dr. Rashel Intimate Magic Pink Cream,Dr. Rashel,Cream,"1,504.00",Herbal extracts,Herbal extracts,Lightens and brightens intimate areas,Mild irritation,Yes,High,As needed,"Apply to desired areas, massage gently",All Skin Types,Pigmentation,4,"- ""Effective but took time."" - 4 stars <br> - ""Gentle on sensitive areas."" - 4.5 stars <br> - ""I love the results!"" - 5 stars <br> - ""No irritation at all."" - 4.5 stars <br> - ""Visible improvement."" - 4 stars",Suitable for sensitive areas,None,Sensitive to herbal extracts,Brightens intimate areas
3,Rivaj UK Deep Cleansing Black Mask Whitening Complex 6pcs,Rivaj UK,Mask,"1,974.00","Charcoal, Aloe Vera","Charcoal, Aloe Vera","Deep cleanses, whitens skin",Possible irritation,No,Standard,Weekly,"Apply evenly, let dry, peel off","Oily, Combination","Blackheads, Dull Skin",4.3,"- ""Pores feel so clean!"" - 4.5 stars <br> - ""Best mask I've used."" - 5 stars <br> - ""A bit drying but works well."" - 4 stars <br> - ""Love the whitening effect."" - 4.5 stars <br> - ""Removes blackheads effectively."" - 4 stars",Great for deep cleansing,None,Sensitive to Charcoal,"Cleans pores, whitens skin"
4,Mamaearth Ubtan Face Scrub With Turmeric & Walnut For Tan Removal,Mamaearth,Scrub,"2,716.60","Turmeric, Walnut","Turmeric, Walnut","Exfoliates, removes tan",Can be harsh on dry skin,Yes,High,Weekly,"Massage on face for 2-3 minutes, rinse",All Skin Types,Tan Removal,4.7,"- ""Tan is visibly reduced!"" - 5 stars <br> - ""Skin feels smoother."" - 4.5 stars <br> - ""Best scrub for tan removal."" - 5 stars <br> - ""Mild and effective."" - 4.5 stars <br> - ""Instant brightness."" - 4.5 stars",Recommended for tan removal,None,Sensitive to Walnut,"Removes tan, exfoliates"
5,Mamaearth Charcoal Face Wash for Oil Control 100ml,Mamaearth,Face Wash,"2,716.60","Charcoal, Tea Tree","Charcoal, Tea Tree","Controls oil, deep cleanses",Can be drying,No,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,Oil Control,4.6,"- ""Great for oily skin!"" - 5 stars <br> - ""Keeps my skin matte."" - 4.5 stars <br> - ""Deep cleans well."" - 4.5 stars <br> - ""A bit drying but effective."" - 4 stars <br> - ""No more shine!"" - 5 stars",Best for oily skin,None,Sensitive to Charcoal,"Controls oil, cleanses deeply"
6,Mamaearth Tea Tree Facewash for Acne & Pimples 100ml,Mamaearth,Face Wash,"2,716.60","Tea Tree, Neem","Tea Tree, Neem","Reduces acne, prevents pimples",Slight tingling,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Acne-Prone Skin,"Acne, Pimples",4.4,"- ""Reduced my pimples significantly."" - 4.5 stars <br> - ""Very effective for acne."" - 5 stars <br> - ""Cleared up my skin."" - 4.5 stars <br> - ""Gentle and natural."" - 4 stars <br> - ""Best for acne control."" - 4.5 stars",Excellent for acne control,None,Sensitive to Tea Tree,"Reduces acne, prevents pimples"
7,Mamaearth Ubtan Face Wash with Turmeric & Saffron for Tan Removal,Mamaearth,Face Wash,"2,716.60","Turmeric, Saffron","Turmeric, Saffron","Removes tan, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,Tan Removal,4.8,"- ""Instant glow!"" - 5 stars <br> - ""Removes tan effectively."" - 4.5 stars <br> - ""Love the natural ingredients."" - 5 stars <br> - ""Skin looks brighter."" - 4.5 stars <br> - ""Best face wash for tan."" - 5 stars",Highly recommended for tan removal,None,Sensitive to Turmeric,"Removes tan, brightens skin"
8,Mamaearth Onion Hair Oil for Hair Regrowth & Hair Fall Control,Mamaearth,Hair Oil,"4,399.20","Onion, Bhringraj","Onion, Bhringraj","Promotes hair regrowth, reduces hair fall",Strong smell,Yes,High,Twice a week,"Massage on scalp, leave overnight",All Hair Types,"Hair Fall, Regrowth",4.5,"- ""Saw hair regrowth in a month."" - 5 stars <br> - ""Reduced hair fall significantly."" - 4.5 stars <br> - ""Nourishing and effective."" - 4.5 stars <br> - ""Love the results!"" - 5 stars <br> - ""Smell is strong but worth it."" - 4 stars",Best for hair fall control,None,Sensitive to Onion,"Promotes hair growth, reduces fall"
9,Mamaearth Ubtan Foaming Face Wash with Turmeric and Saffron,Mamaearth,Face Wash,"3,938.60","Turmeric, Saffron","Turmeric, Saffron","Removes tan, deep cleanses",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,Tan Removal,4.6,"- ""Foaming action is great!"" - 5 stars <br> - ""Removes tan very well."" - 4.5 stars <br> - ""Skin feels fresh."" - 4.5 stars <br> - ""Brightens skin instantly."" - 5 stars <br> - ""Natural and effective."" - 4 stars",Best for tan removal,None,Sensitive to Turmeric,"Removes tan, cleans deeply"
10,Neutrogena Oil-Free Acne Face Wash Cream Cleanser 200ml,Neutrogena,Face Wash,"10,264.80",Salicylic Acid,Salicylic Acid,"Treats acne, prevents breakouts",Dryness in some cases,No,Standard,Daily,"Apply to wet face, lather and rinse",Acne-Prone Skin,"Acne, Breakouts",4.7,"- ""Best for acne-prone skin."" - 5 stars <br> - ""Cleared my breakouts."" - 4.5 stars <br> - ""A bit drying but effective."" - 4.5 stars <br> - ""Gentle and works well."" - 5 stars <br> - ""Highly recommend for acne."" - 4.5 stars",Dermatologist recommended,None,Sensitive to Salicylic Acid,"Treats acne, prevents breakouts"
11,St. Ives Fresh Skin Apricot Scrub 170g,St. Ives,Scrub,"9,977.00","Apricot, Walnut","Apricot, Walnut","Exfoliates, smoothens skin",Can be harsh on sensitive skin,Yes,Standard,Weekly,"Massage on face for 2-3 minutes, rinse",All Skin Types,"Dullness, Rough Texture",4.4,"- ""Skin feels super smooth."" - 4.5 stars <br> - ""Best scrub I've used."" - 5 stars <br> - ""A bit harsh but effective."" - 4 stars <br> - ""Love the fresh feeling."" - 4.5 stars <br> - ""Great for exfoliation."" - 4 stars",Great for exfoliation,None,Sensitive to Walnut,"Exfoliates, smoothens skin"
12,L'Oréal Paris Revitalift Hyaluronic Acid Serum,L'Oréal,Serum,"11,452.80",Hyaluronic Acid,Hyaluronic Acid,"Hydrates, plumps skin",None reported,No,High,Twice daily,"Apply a few drops to face, massage gently",All Skin Types,"Dryness, Fine Lines",4.8,"- ""Skin feels hydrated and plump."" - 5 stars <br> - ""Reduced my fine lines."" - 4.5 stars <br> - ""Love the texture."" - 5 stars <br> - ""Very effective serum."" - 5 stars <br> - ""Best for hydration."" - 4.5 stars",Excellent for hydration,None,Sensitive to Hyaluronic Acid,"Hydrates, plumps skin"
13,Junsui Naturals Face Wash With Extra Whitening Radiance 100g,Junsui,Face Wash,"1,217.30",Herbal extracts,Herbal extracts,"Whitens skin, adds radiance",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Pigmentation",4.4,"- ""My skin looks brighter."" - 4.5 stars <br> - ""Gentle and effective."" - 4.5 stars <br> - ""Great for daily use."" - 4 stars <br> - ""Love the whitening effect."" - 5 stars <br> - ""Noticed a glow."" - 4 stars",Great for skin brightening,None,Sensitive to herbal extracts,"Whitens skin, adds radiance"
14,OxyGlow Saffron Whitening Lotion 120ml,OxyGlow,Lotion,"2,150.00","Saffron, Milk Proteins","Saffron, Milk Proteins","Whitens skin, moisturizes",None reported,Yes,Standard,Daily,"Apply to body, massage gently",All Skin Types,"Dullness, Dry Skin",4.6,"- ""Skin feels soft and bright."" - 5 stars <br> - ""Love the saffron smell."" - 4.5 stars <br> - ""Keeps my skin moisturized."" - 4.5 stars <br> - ""Great for daily use."" - 5 stars <br> - ""Noticeable whitening."" - 4 stars",Best for moisturizing and whitening,None,Sensitive to Saffron,"Whitens skin, moisturizes"
15,OxyGlow Liquorice Mud Pack 100g,OxyGlow,Mask,"1,650.00","Liquorice, Mud","Liquorice, Mud","Detoxifies skin, brightens",Possible irritation,Yes,Standard,Weekly,"Apply evenly, let dry, rinse",All Skin Types,"Dullness, Oiliness",4.3,"- ""Skin feels refreshed."" - 4.5 stars <br> - ""Detoxifies well."" - 4 stars <br> - ""A bit drying but effective."" - 4 stars <br> - ""Love the brightening effect."" - 4.5 stars <br> - ""Great for oily skin."" - 5 stars",Excellent for detoxification,None,Sensitive to Liquorice,"Detoxifies, brightens skin"
16,OxyGlow Cucumber Skin Toner 100ml,OxyGlow,Toner,"1,300.00","Cucumber, Aloe Vera","Cucumber, Aloe Vera","Refreshes, hydrates skin",None reported,Yes,Standard,Twice daily,"Apply with cotton pad, avoid eyes",All Skin Types,"Dullness, Dryness",4.5,"- ""Very refreshing."" - 5 stars <br> - ""Skin feels hydrated."" - 4.5 stars <br> - ""Great for summer."" - 4 stars <br> - ""Soothing on the skin."" - 4.5 stars <br> - ""Nice scent."" - 4 stars",Excellent for hydration and refreshment,None,None,"Refreshes, hydrates skin"
17,OxyGlow Rose Refreshing Toner 100ml,OxyGlow,Toner,"1,300.00","Rose, Witch Hazel","Rose, Witch Hazel","Soothes, refreshes skin",None reported,Yes,Standard,Twice daily,"Apply with cotton pad, avoid eyes",All Skin Types,"Dullness, Redness",4.4,"- ""Smells amazing."" - 5 stars <br> - ""Very soothing."" - 4.5 stars <br> - ""Great for calming skin."" - 4 stars <br> - ""Leaves skin refreshed."" - 4.5 stars <br> - ""Love the rose scent."" - 4 stars",Great for soothing and refreshing,None,None,"Soothes, refreshes skin"
18,OxyGlow Charcoal Face Wash 100ml,OxyGlow,Face Wash,"1,970.00","Charcoal, Aloe Vera","Charcoal, Aloe Vera","Deep cleanses, detoxifies skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",Oily Skin,"Oiliness, Acne",4.6,"- ""Deep cleans my skin."" - 5 stars <br> - ""Great for oily skin."" - 4.5 stars <br> - ""Very effective."" - 4.5 stars <br> - ""Leaves skin fresh."" - 5 stars <br> - ""Highly recommend."" - 4 stars",Excellent for deep cleansing,None,None,"Deep cleanses, detoxifies"
19,OxyGlow Pearl Whitening Face Wash 100ml,OxyGlow,Face Wash,"1,750.00","Pearl, Mulberry","Pearl, Mulberry","Whitens, brightens skin",None reported,Yes,Standard,Daily,"Apply to wet face, lather and rinse",All Skin Types,"Dullness, Pigmentation",4.4,"- ""My skin looks brighter."" - 4.5 stars <br> - ""Gentle and effective."" - 4 stars <br> - ""Great for daily use."" - 4.5 stars <br> - ""Love the whitening effect."" - 4.5 stars <br> - ""Noticeable glow."" - 4 stars",Great for skin brightening,None,None,"Whitens, brightens skin"
